Opponent hand: 'A', Index: '1', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '550', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '551', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '552', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '553', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'B', Index: '554', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'C', Index: '555', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '556', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '557', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '558', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '559', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '560', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '561', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '562', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '563', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '564', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '565', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '566', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '567', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'B', Index: '568', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'A', Index: '569', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '570', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '571', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '572', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '573', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '574', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'B', Index: '575', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'A', Index: '576', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '577', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '578', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'B', Index: '579', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'B', Index: '580', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'B', Index: '581', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'C', Index: '582', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '583', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '584', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '585', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '586', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '587', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '588', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '589', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '590', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '591', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '592', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '593', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '594', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '595', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '596', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '597', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '598', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '599', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '600', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '601', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'B', Index: '602', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'B', Index: '603', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'A', Index: '604', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '605', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '606', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '607', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '608', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'B', Index: '609', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'C', Index: '610', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '611', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '612', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '613', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '614', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '615', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'B', Index: '616', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'C', Index: '617', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '618', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '619', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '620', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '621', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'B', Index: '622', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'B', Index: '623', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'C', Index: '624', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '625', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '626', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'B', Index: '627', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'A', Index: '628', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '629', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '630', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '631', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '632', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '633', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '634', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '635', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'B', Index: '636', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'A', Index: '637', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '638', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '639', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '640', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '641', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '642', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '643', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '644', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '645', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'B', Index: '646', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'C', Index: '647', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'B', Index: '648', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'A', Index: '649', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'B', Index: '650', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'A', Index: '651', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '652', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '653', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '654', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '655', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '656', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '657', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '658', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '659', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '660', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '661', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'B', Index: '662', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'A', Index: '663', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'B', Index: '664', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'B', Index: '665', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'A', Index: '666', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '667', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '668', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '669', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '670', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '671', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '672', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '673', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '674', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '675', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '676', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '677', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '678', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '679', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '680', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '681', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '682', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'B', Index: '683', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'A', Index: '684', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '685', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '686', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '687', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '688', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '689', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '690', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '691', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '692', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '693', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '694', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '695', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '696', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '697', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '698', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '699', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '700', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '701', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '702', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '703', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '704', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '705', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '706', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '707', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '708', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '709', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '710', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '711', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '712', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '713', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '714', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '715', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '716', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '717', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '718', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '719', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '720', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '721', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '722', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '723', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'B', Index: '724', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'C', Index: '725', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '726', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '727', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '728', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '729', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '730', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '731', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '732', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '733', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '734', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '735', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'B', Index: '736', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'A', Index: '737', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '738', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '739', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '740', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '741', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '742', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '743', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '744', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '745', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'B', Index: '746', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'B', Index: '747', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'B', Index: '748', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'A', Index: '749', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '750', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '751', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '752', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '753', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '754', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '755', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '756', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '757', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'B', Index: '758', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'C', Index: '759', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'B', Index: '760', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'A', Index: '761', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '762', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '763', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '764', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '765', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '766', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '767', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '768', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'B', Index: '769', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'A', Index: '770', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '771', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '772', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '773', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'B', Index: '774', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'A', Index: '775', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '776', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '777', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '778', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '779', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '780', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '781', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '782', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '783', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '784', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '785', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '786', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '787', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '788', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '789', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'B', Index: '790', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'C', Index: '791', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '792', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'B', Index: '793', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'A', Index: '794', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '795', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '796', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '797', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'B', Index: '798', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'B', Index: '799', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'B', Index: '800', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'C', Index: '801', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '802', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '803', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '804', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '805', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'B', Index: '806', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'B', Index: '807', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'B', Index: '808', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'A', Index: '809', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'B', Index: '810', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'A', Index: '811', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '812', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '813', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '814', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '815', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '816', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '817', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '818', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '819', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '820', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '821', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '822', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '823', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '824', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'B', Index: '825', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'C', Index: '826', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '827', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '828', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '829', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '830', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '831', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '832', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '833', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '834', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '835', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '836', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'B', Index: '837', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'C', Index: '838', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '839', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '840', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '841', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '842', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '843', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '844', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '845', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '846', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '847', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '848', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '849', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '850', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '851', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '852', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'B', Index: '853', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'B', Index: '854', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'A', Index: '855', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '856', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '857', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '858', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '859', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '860', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '861', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '862', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '863', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '864', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '865', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '866', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '867', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '868', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '869', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '870', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '871', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '872', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'B', Index: '873', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'C', Index: '874', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '875', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '876', Outcome: 'draw', My hand score: '3', Total score: '6'
